Question,Answer
What does my auto insurance cover?,"Your auto insurance covers accidental damages, third-party liability, theft, and natural calamities as per policy terms."
What is not covered under my auto insurance?,"Normal wear and tear, mechanical or electrical breakdowns, driving without a valid license, and drunk driving are not covered."
How long do I have to file a claim after an accident?,You must file a claim within 7 days of the incident unless specified otherwise in your policy.
Does my insurance cover damages due to natural disasters?,"Yes, most policies cover floods, earthquakes, cyclones, and other natural disasters."
Are personal belongings inside the car covered?,Standard policies usually do not cover personal items inside the car unless you add extra coverage.
Does insurance cover driving outside India?,"No, coverage is valid only within India unless an international policy extension is purchased."
What happens if someone else drives my car and has an accident?,"If the driver has a valid license and your permission, your insurance covers the damage."
Are passengers covered under my auto insurance?,"Yes, passengers are usually covered under personal accident cover if included in your policy."
Does my policy cover engine damage due to waterlogging?,"No, unless you have an add-on like Engine Protect Cover."
What documents do I need to file a claim?,"You need the policy copy, driving license, registration certificate, FIR (if applicable), and claim form."
How do I track the status of my claim?,You can track it online through the insurer’s portal or by contacting customer support.
Will my premium increase after filing a claim?,"Yes, in most cases, your premium may increase as you lose the No Claim Bonus."
What is No Claim Bonus (NCB)?,"NCB is a discount on your premium for every claim-free year, up to 50%."
Can I transfer my No Claim Bonus when I buy a new car?,"Yes, NCB is linked to the policyholder, not the car, and can be transferred."
Is there a penalty for not renewing my insurance on time?,"Yes, your policy lapses, and you lose your NCB benefits if you don’t renew within 90 days."
Can I renew my expired policy?,"Yes, but your car may require a fresh inspection before renewal."
Does insurance cover tire damage?,"No, unless caused during an accident and explicitly covered in your policy."
What is third-party liability insurance?,It covers damages or injuries caused to another person or their property.
What is comprehensive car insurance?,"It covers third-party liability, own damage, theft, and natural calamities."
Does my policy cover accidents caused while drunk driving?,"No, accidents caused under the influence of alcohol or drugs are excluded."
Does insurance cover accidents if the driver has no valid license?,"No, claims are rejected if the driver does not hold a valid license."
Is roadside assistance included in my policy?,Not always—roadside assistance is usually available as an add-on cover.
Can I cancel my policy and get a refund?,"Yes, you can cancel anytime. Refund depends on the unused premium and policy terms."
What is IDV (Insured Declared Value)?,IDV is the current market value of your car and the maximum amount payable in case of total loss.
How is my premium calculated?,"Premium depends on the car’s IDV, age, location, fuel type, add-ons, and claim history."
Does my insurance cover hit-and-run accidents?,"Yes, but compensation is limited and subject to Motor Vehicle Accident Fund rules."
Are accessories like music systems covered?,Only if they are declared and insured under the policy.
Does my policy cover loss due to riots or strikes?,"Yes, comprehensive policies usually cover damages due to riots, strikes, and civil disturbances."
What is a deductible in insurance?,A deductible is the fixed amount you must pay from your pocket before the insurer pays the rest.
Does my insurance cover car replacement in case of total loss?,"No, you receive the IDV (market value), not a brand-new replacement car."
